Folder,Workflow Name,Purpose,Trigger,Status
3. Lead Sources,Auto Missed Call Text-Back,"Excludes named partner/team contacts, otherwise assigns Renee, tags, texts the lead back, and notifies staff. Full internal message not confirmed (partial trace).",Missed call,Published
3. Lead Sources,Exterior Screens Facebook Lead Form,"Creates an opportunity, tags the source, sends a booking link by email and SMS, and enrolls the contact into ""7. Not Booked Workflow"" directly if not booked within a day.",Submission of the Exterior Screens Facebook lead form,Published
3. Lead Sources,Google Ad (Exterior) to GHL,"Creates the contact from the webhook payload, tags ""google_ads_exterior,"" enrolls into ""01. New Lead Opt in Workflow.""",Inbound webhook from the ad platform,Published
3. Lead Sources,Google Ads (home page) to GHL,"Same as its Exterior sibling; tags ""google_ads_homepage,"" enrolls into ""01. New Lead Opt in Workflow.""",Inbound webhook from the ad platform,Published
3. Lead Sources,New Lead Landing Page,"Creates an opportunity, assigns Kelli, sends an internal SMS. SMS content not confirmed (partial trace).",Contact tagged with one of 4 landing-page promo tags,Published
3. Lead Sources,Partner New Leads Opt-in,"Texts and emails the contact, then tags ""Drip"" as an interim stopgap (confirms the Week 7-8 roadmap's finding). Steps after the tag not confirmed (partial trace).","Contact tagged ""partner lead""",Published
3. Lead Sources,Phone Number Tracking,"Tags the contact by which number/source the call came in on, then enrolls into ""01. New Lead Opt in Workflow"" (per its own sticky note).",Call on one of 6 tracked phone numbers,Published
3. Lead Sources,QR Code and Landing Pages Lead Tracker,"Tags the contact by source, then enrolls into ""1. Appointment Booked.""",Appointment booked with a matching UTM source (6 landing-page/QR sources),Published
3. Lead Sources,Version 3 Facebook Lead Form,"Creates an opportunity, tags the source, sends a booking link, enrolls into ""7. Not Booked Workflow"" if not booked within a day. Consolidates 4 Facebook form versions into one trigger.",Facebook lead form submission (any of 4 form versions),Published
4. My Blind Co,My Blind Co - GHL Erica,"Dedup check, then syncs the contact to MyBlindCo via webhook, tags it as sent, updates the MyBlindCo Contact ID field.","Contact tagged as booked (Google, Facebook, form, or phone)",Published
4. My Blind Co,My Blind Co - GHL Justin,Structurally identical per-salesperson copy of Erica's MyBlindCo sync (see Fix Or Consolidate Overlaps).,Same as Erica's version,Draft
5. Partner Automations,(Partners) Map Partner Data to Contact,Writes the Partner's name and record ID onto the associated Partner Contact.,"No trigger of its own; entered by ""Trigger Partner Data Sync""",Published
5. Partner Automations,(Partners) Write Partner Details to Opportunity,"Writes partner details onto the opportunity, but only if the contact's own Contact Type is ""Partner,"" likely the wrong check (see Fix Or Consolidate Overlaps).","Opportunity stage change or creation with Partner Referral Email set, on the ""Lead Flow Pipeline"" pipeline",Draft
5. Partner Automations,(Partners) Write Referral Email to Opportunity,"Copies the Partner Referral Email onto the referred lead's opportunity, if one exists.","Contact's ""Partner Referral Email"" field added or changed",Published
5. Partner Automations,Trigger Partner Data Sync,"Feeds the Partner/Contact association into ""(Partners) Map Partner Data to Contact"" to write the details over.","Contact tagged ""sync partner data"" after a manual Partner-to-Contact association",Published
5. Partner Automations / Mapsly,(Partners) Workflow: Sync contacts to Mapsly,Sends the contact's details (name/phone/email/address) to Mapsly via webhook.,"Contact created with Contact Type ""Partner,"" or tagged ""mapsly contact sync""",Published
5. Partner Automations / Mapsly,(Partners) Workflow: Send Partner Objects to Mapsly,"Ensures the Partner ID is set, then sends to Mapsly only once an address is present.",Partner record created or changed,Published
5. Partner Automations / Partner Communications,(Partners) Installation Complete - Add Partner Contact to Workflow,"Looks up the associated partner and routes them into ""...Send Communication.""","Contact tagged ""installation complete"" (and already tagged ""partner lead"")",Published
5. Partner Automations / Partner Communications,(Partners) Installation Complete - Send Communication,Texts then emails the partner an installation-complete notice. Steps after the email not confirmed (partial trace).,No trigger of its own; entered by the workflow above,Published
5. Partner Automations / Partner Communications,(Partners) Lead Confirmation - Add Partner Contact to Workflow,"Looks up the associated partner and routes them into ""...Send Communication.""","New contact created already tagged ""partner lead""",Published
5. Partner Automations / Partner Communications,(Partners) Lead Confirmation - Send Communication,"Texts then emails the partner a lead-confirmation notice, ends cleanly.",No trigger of its own; entered by the workflow above,Published
6. Inactive Automations / Customer Order Flow Pipeline,01. Sold Workflow,"Updates/creates the matching opportunity, no notifications.","Contact tagged ""sold""",Draft
6. Inactive Automations / Customer Order Flow Pipeline,02. Deposit Received Workflow,"Assigns Erica/Justin, emails the sales rep, removes the ""sold"" tag. Steps after that not confirmed (partial trace).","Stage change to ""Deposit Received,"" or an external payment success",Draft
6. Inactive Automations / Customer Order Flow Pipeline,03. Ordered | In Production Workflow,"Updates the opportunity, emails the customer an order update.","Contact tagged ""ordered""",Draft
6. Inactive Automations / Customer Order Flow Pipeline,04. Production Complete Workflow,"Removes the ""ordered"" tag, assigns to Brittany, sends an internal SMS. Steps after that not confirmed (partial trace).","Stage change to ""Production Complete""",Draft
6. Inactive Automations / Customer Order Flow Pipeline,05. Order Shipped Workflow,Emails the customer. Unclear whether it ends there (partial trace).,"An ""Order Shipped"" link click, or stage change to ""Order Shipped""",Draft
6. Inactive Automations / Customer Order Flow Pipeline,06. Order Complete | Ready for Install,Sends an internal email notification and ends.,"Stage change to ""Order Complete | Ready for Install""",Draft
6. Inactive Automations / Customer Order Flow Pipeline,07. Installation Scheduled Workflow,"Emails Kelli, sends an internal SMS. Steps after that not confirmed (partial trace).",Appointment booked on the Installation Appointment Calendar,Draft
6. Inactive Automations / Customer Order Flow Pipeline,08. Installation Complete + Google Review Request,"Internal notifications, then an NPS-style customer text: a 9-10 rating gets a Google review link, 8-and-below gets an acknowledgment, anything else gets a generic follow-up. The best-built workflow in this folder.","Stage change to ""Installation Complete,"" or contact tagged the same",Draft
6. Inactive Automations / Customer Order Flow Pipeline,09. Incomplete | Remake | Reorder Workflow,"Assigns Brittany, sends a matching email tailored to which of 3 tags fired.","Contact tagged ""reorder,"" ""remake,"" or ""incomplete""",Draft
6. Inactive Automations / Lead Flow Pipeline,01. New Lead Opt in Workflow,"Creates an opportunity, assigns Kelli, sends a booking link, notifications, and follow-up tasks. Direct ancestor of ""1. New Lead,"" still actively fed by current lead-source workflows; not an archive candidate.","Same form submissions as ""1. New Lead""",Published
6. Inactive Automations / Lead Flow Pipeline,02. Appointment Booked Workflow,"Same reminder sequence as ""1. Appointment Booked,"" duplicated 8 ways. Has 19 real active contacts right now; central to the still-open mismatched-reminder-emails item.","Same appointment-confirmed trigger as ""1. Appointment Booked""",Draft (19 active)
6. Inactive Automations / Lead Flow Pipeline,02. Appointment Booked Workflow - v19 - copy,"Stray unused duplicate of the workflow above, 0 enrollments, structurally identical.",Same as above,Draft
6. Inactive Automations / Lead Flow Pipeline,04. No Show Workflow,4-part reschedule email sequence. Steps after the final wait not confirmed (partial trace).,"Stage change to ""No Show,"" or a ""No Show"" link click",Draft
6. Inactive Automations / Lead Flow Pipeline,05. Measured/Pending Service Workflow,"Tags the opportunity ""pending"" and ends.","A ""Showed"" link click, or stage change to ""Pending Service""",Draft
6. Inactive Automations / Lead Flow Pipeline,06. Sold Workflow,"Removes the ""pending"" tag, adds a ""sold"" tag.","Stage change to ""Sold,"" or a ""Sold"" link click",Draft
6. Inactive Automations / Lead Flow Pipeline,07. Not Sold Workflow,"Removes the ""pending"" tag, adds a ""Drip"" tag, hands off to nurture.","Same dual trigger as 06, for ""Not Sold""",Draft
6. Inactive Automations / Lead Flow Pipeline,08. Drip Campaign Workflow,"A long, strategically-named 12-email nurture sequence. Has 2 real active contacts right now; its email angles are worth preserving.","Contact tagged ""drip""",Draft (2 active)
6. Inactive Automations / Lead Flow Pipeline,Exterior Screens Facebook Lead Form Workflow,Same booking-link sequence as the current version. Steps after the 1-day wait not confirmed (partial trace).,Same Facebook lead form as the current version,Draft
6. Inactive Automations / Lead Flow Pipeline,Google Ad (Exterior) to GHL,"Same as the current version, enrolls into another workflow before ending (very likely ""01. New Lead Opt in Workflow"").",Inbound webhook (separate legacy URL),Draft
6. Inactive Automations / Lead Flow Pipeline,Google Ads (home page) to GHL,Same as its Exterior sibling.,Inbound webhook (separate legacy URL),Draft
6. Inactive Automations / Lead Flow Pipeline,Version 3 Facebook Lead Form Workflow,"Same booking-link sequence as the current version; confirmed missing the booked-check the current version added before enrolling into ""Not Booked.""",Facebook lead form submission (3 of 4 form versions),Draft
6. Inactive Automations / Lead Tracker Workflows,After Business Hours Workflow,Same after-hours SMS logic as the current version; confirmed to end cleanly.,Same 4-channel reply trigger as the current version,Draft
6. Inactive Automations / Lead Tracker Workflows,Auto Missed Call Text-Back,Same as the current version but assigns Kelli instead of Renee (a minor assignee drift).,Missed call,Draft
6. Inactive Automations / Lead Tracker Workflows,Facebook Comments on a Post,"Auto-responds, assigns to Brittany.",A specific phrase commented on one named Facebook post,Draft
6. Inactive Automations / Lead Tracker Workflows,GHL to Myblindco,"Minimal webhook to MyBlindCo, no dedup, tag, or field update; a superseded early experiment.",Appointment confirmed,Draft
6. Inactive Automations / Lead Tracker Workflows,Leads from Landing Page (Disabled),"Creates a contact, enrolls into ""01. New Lead Opt in Workflow""; itself intentionally disabled.",Inbound webhook,Draft
6. Inactive Automations / Lead Tracker Workflows,My Blind Co - GHL,"Sends a webhook and ends. Confirmed genuinely broken, not just unused.","Broken (blank pipeline filter, unresolved stage ID)",Draft
6. Inactive Automations / Lead Tracker Workflows,Phone Number Tracking,"Same as the current version; confirmed target is ""01. New Lead Opt in Workflow.""",Call on a tracked number,Draft
6. Inactive Automations / Lead Tracker Workflows,Promotions and Discounts,"Tags ""Hot Lead,"" sends a matching promo email.","A ""Holiday Promo"" or ""10% Discount"" link click",Draft
6. Inactive Automations / Lead Tracker Workflows,QR Code and Landing Pages Lead Tracker,"Same as the current version, enrolls into ""1. Appointment Booked.""",Appointment booked with a matching UTM source,Draft
6. Inactive Automations / Sales Order Pipeline,01. Partially Sold Interior Workflow,Sends a cross-sell email. Steps after the 7-day wait not confirmed (partial trace).,"""Partial installation Interior"" link click",Draft
6. Inactive Automations / Sales Order Pipeline,02. Partially Sold exterior Workflow,"Sends the identical Interior email despite being the Exterior workflow, a confirmed copy-paste bug.","Same ""Partial installation Interior"" link (should be its own exterior link)",Draft
6. Inactive Automations / Sales Order Pipeline,03. Whole House Sold - Exterior Workflow,"Sends a genuinely tailored cross-sell email sequence, correctly built unlike 01/02.","Its own correct ""Whole House Sold - Exterior"" link",Draft
6. Inactive Automations / Sales Order Pipeline,04. Whole House Sold - Both Workflow,"Same shape as 03, but with generic unlabeled email placeholders (""Email 1""/""Email 2"").","Its own correct ""Whole House Sold - Both"" link",Draft
6. Inactive Automations / Sales Order Pipeline,05. Whole House Sold - Interior Workflow,Same generic-placeholder pattern as 04.,"Its own correct ""Whole House Sold - Interior"" link",Draft
6. Inactive Automations,Appointment Confirmation Workflow,"Confirmation email, 24-hour reminder email, 12-hour SMS reminder, ends.",A pipeline stage change (broken reference),Draft
6. Inactive Automations,Internal: Opportunity Assignment Notification,Two internal notifications. Recipients/content/ending not confirmed (partial trace).,Opportunity's assigned owner changes,Draft
6. Inactive Automations,Map closing date from opportunity to contact,Updates the matching contact field. Steps after that not confirmed (partial trace).,Opportunity's closing date changes,Draft
6. Inactive Automations,Quote Follow Up Workflow,"A 4-touch escalation (SMS/email/SMS/email) over about 2 weeks, auto-closes the opportunity to ""Closed - Lost"" if it never moves stage. Genuinely good design, undermined by 2 bugs, worth fixing rather than archiving (see Archive What's Genuinely Dead).","Named for a stage change to ""Estimate in Review,"" but has no actual filter configured",Draft
6. Inactive Automations,Scouting report workflow,Runs a GPT/AI action and writes the result into a contact field. The only AI-powered workflow in the account.,Opportunity change,Draft
6. Inactive Automations,Temporary form automation,"Creates the contact/opportunity, sends an internal notification, tags the contact. Reads as an unremoved catch-all stub.",Any form submission anywhere (no filter configured),Draft
6. Inactive Automations,Update Opportunity to Appointment Scheduled & Update Opportunity Owner,"Updates/creates the opportunity. The ""Update Opportunity Owner"" part its name promises isn't confirmed (partial trace).",Appointment confirmed,Draft
6. Inactive Automations,Form submission follow up workflow,"Checks whether the ""yes"" group actually followed through by reading the live enrollment state of ""Update Opportunity to Appointment Scheduled...""; tags hot vs. warm lead accordingly, or sends a simple confirmation for the other group.","One of 3 form submissions (booking-intent ""yes""/""no,"" or Contact Us)",Draft
